letter,correct,wrong1,wrong2,wrong3,wrong4,wrong5,wrong6,wrong7,wrong8,wrong9
A,Alfa,Alpha,Anton,Ajax,Amazon,Atlas,Astro,Andy,Albert,Argo
B,Bravo,Berlin,Boris,Beta,Boston,Banana,Bingo,Baltic,Blitz,Bingo
C,Charlie,Chicago,Cobra,Caesar,Canada,Clara,Cloud,Cosmos,Comet,Captain
D,Delta,Denver,Dingo,Django,Dallas,Domino,Diesel,Draco,Dragon,Darwin
E,Echo,Edward,Elton,Everest,Edison,Empire,Eagle,Elvis,Erwin,Elba
F,Foxtrot,Florida,Falcon,Fjord,Forest,Ferrari,Fabian,Fargo,Flint,Fusion
G,Golf,George,Gamma,Garden,Gala,Gnome,Grizzly,Galaxy,Graf,Gondor
H,Hotel,Hector,Henry,Hawaii,Hammer,Hubble,Hobbit,Hector,Horus,Himalaya
I,India,Igor,Idaho,Ibis,Iron,Ink,Icon,Ireland,Irwin,Iceberg
J,Juliett,Julian,Joker,Jupiter,Jet,Jack,James,Java,Justice,Jungle
K,Kilo,Kansas,Kiwi,Kevin,Krypton,Knight,Kent,Kosovo,Kodiak,Kairo
L,Lima,London,Lucky,Laser,Libra,Logan,Lotus,Lynx,Lord,Lancer
M,Mike,Mary,Mango,Mars,Merlin,Matrix,Major,Magnum,Moon,Miner
N,November,Nancy,Neptune,Ninja,Nomad,Norway,Newton,North,Nero,Nest
O,Oscar,Orlando,Omega,Oliver,Onyx,Opera,Ocean,Otis,Orbit,Odin
P,Papa,Paris,Pluto,Polar,Pixel,Phantom,Prince,Panther,Pilot,Pyro
Q,Quebec,Queen,Quartz,Quest,Quantum,Quincy,Quick,Quark,Quota,Quill
R,Romeo,Roger,Radar,Raven,Rocky,Ranger,Rhythm,Rome,Riot,Ramses
S,Sierra,Samuel,Sun,Storm,Shadow,Sultan,Saber,Sonic,Silver,Snake
T,Tango,Texas,Tiger,Tom,Trigger,Titan,Trio,Tour,Taurus,Track
U,Uniform,Ulrich,Urban,Union,Ultra,Ursa,Unix,Under,User,Uno
V,Victor,Vienna,Vega,Virus,Viking,Vortex,Vincent,Viper,Vision,Vienna
W,Whiskey,Washington,Wilson,Winter,Wolf,Wizard,Willow,Wave,Warden,Wonder
X,X-ray,Xenia,Xeno,Xerox,Xmas,Xavier,Xplore,Xodus,Xpert,Xample
Y,Yankee,Yoga,Yara,Yahoo,Yoda,Yemen,Yukon,Yard,Ypsilon,York
Z,Zulu,Zurich,Zero,Zebra,Zinc,Zorro,Zeus,Zenon,Zelda,Zone